page_id,text_id,title,original_title,full_bibliographic_entry,year,publisher,location,language,page_count,clean_content,categories,main_category,time_period
5400,37875,"""Sukhriyyāt ṣaghīrah"": Tūlstūy wa-Hārdī wa-čkharūn""","""Small Mockings"": Tolstoy, Hardy and Others","""Sukhriyyāt ṣaghīrah"": Tūlstūy wa-Hārdī wa-čkharūn"" [""Small Mockings"": Tolstoy, Hardy and Others] in ''Al-Ê¿Arabī al-jadīd'' [The New Arab] [London], 11 October 2016, pp. ??\n\nPublished online:\n\nhttps://www.alaraby.co.uk/books/2016/10/11/%D8%B3",2016.0,fidayn,London,Arabic,207.0,"""Sukhriyyāt ṣaghīrah"": Tūlstūy wa-Hārdī wa-čkharūn"" [""Small Mockings"": Tolstoy, Hardy and Others] in ''Al-Ê¿Arabī al-jadīd'' [The New Arab] [London], 11 October 2016, pp. ??\n\nPublished online:\n\nhttps://www.alaraby.co.uk/books/2016/10/11/%D8%B3%D8%AE%D8%B1%D9%8A%D8%A7%D8%AA-%D8%B5%D8%BA%D9%8A%D8%B1%D8%A9-%D8%AA%D9%88%D9%84%D8%B3%D8%AA%D9%88%D9%8A-%D9%88%D9%87%D8%A7%D8%B1%D8%AF%D9%8A-%D9%88%D8%A2%D8%AE%D8%B1%D9%88%D9%86\n\nThis is a review of the anthology ""Sukhriyyāt ṣaghīrah : Tūlstūy, Dustuwīfskī, Tūmās Hārdī, Sūmirsit Mūm, Stīfān Zfāyj, Sākī"" [Small Mockings / Small Ironies: Tolstoy, Dostoyevsky, Thomas Hardy, Somerset Maugham, Stefan Zweig, Saki]. Translated by Muḥammad Quṭb. 207p. London: Opus Publishers / Beirut: Dār al-Rāfidayn, 2017. This anthology contains the Arabic translation ""Risālah min imraÊ¾ah majhūlah"" of ""Brief einer Unbekannten"", pp. 145-196\n\n\n\n",Secondary Literature / Titles (Arabic),Secondary Literature,Contemporary (after 2000)
6886,51454,"""''Carmen'' et Bizet. Réponse de Stefan Zweig"" in ''Marianne''",Paris,"""''Carmen'' et Bizet. Réponse de Stefan Zweig"" in ''Marianne'' [Paris], 12 October 1938, p. 13. Contains a photograph of Stefan Zweig\n\n'''Reprinted in:'''\n\nParoles d'un Européen [Toulouse/Paris, 2018], No. XXI, pp. 129-(130)\n\n\n\n\n",1938.0,"""''Carmen'' et Bizet. Réponse de Stefan Zweig"" in ''Marianne'' [Paris]",Paris,French,,"""''Carmen'' et Bizet. Réponse de Stefan Zweig"" in ''Marianne'' [Paris], 12 October 1938, p. 13. Contains a photograph of Stefan Zweig\n\n'''Reprinted in:'''\n\nParoles d'un Européen [Toulouse/Paris, 2018], No. XXI, pp. 129-(130)\n\n\n\n\n",Essays / Individual Essays (French),Essays,During Lifetime (1881-1942)
4093,30189,"'Abbūd, 'Abduh / Abboud, Abdo",,"'Abbūd, 'Abduh / Abboud, Abdo",,'Abbūd,,,,"'Abbūd, 'Abduh / Abboud, Abdo",,,
4094,30190,"'Abbūd, 'Abduh / Abboud, Abdo",,"'Abbūd, 'Abduh / Abboud, Abdo",,'Abbūd,,,,"'Abbūd, 'Abduh / Abboud, Abdo",,,
4097,30193,"'Abbūd, 'Abduh / Abboud, Abdo",,"'Abbūd, 'Abduh / Abboud, Abdo",,'Abbūd,,,,"'Abbūd, 'Abduh / Abboud, Abdo",,,
4126,30188,"'Abbūd, 'Abduh / Abboud, Abdo",,"'Abbūd, 'Abduh / Abboud, Abdo",,'Abbūd,,,,"'Abbūd, 'Abduh / Abboud, Abdo",,,
4095,30191,"'Abbūd, 'Abduh / Abboud, Abdo",,"'Abbūd, 'Abduh / Abboud, Abdo",,'Abbūd,,,,"'Abbūd, 'Abduh / Abboud, Abdo",,,
4096,30192,"'Abbūd, 'Abduh / Abboud, Abdo",,"'Abbūd, 'Abduh / Abboud, Abdo",,'Abbūd,,,,"'Abbūd, 'Abduh / Abboud, Abdo",,,
4136,30252,'Ālam al-ams,,'Ālam al-ams,,,,,,'Ālam al-ams,,,
3774,30711,'Āshiqāt fī 'l-kharīf,,'Āshiqāt fī 'l-kharīf,,,,,,'Āshiqāt fī 'l-kharīf,,,
5943,55144,"""'Sadhâna' de Rabindranath Tagore""",,"""'Sadhâna' de Rabindranath Tagore"". '''See:''' Tagore, Rabindranath / German\n\n\n\n",,"""'Sadhâna' de Rabindranath Tagore"". '''See:''' Tagore",See,Spanish,,"""'Sadhâna' de Rabindranath Tagore"". '''See:''' Tagore, Rabindranath / German\n\n\n\n",Essays / Individual Essays (Spanish),Essays,
2190,9438,Stefan Zweig. Das Leben eines Ungeduldigen,,Stefan Zweig. Das Leben eines Ungeduldigen,,,,,,Stefan Zweig. Das Leben eines Ungeduldigen,,,
1131,43312,"""'Yiqianlingyi' ye zhong de xiju""",Das Drama in Tausendundeiner Nacht (A. Gelber),"""'Yiqianlingyi' ye zhong de xiju"" [Das Drama in Tausendundeiner Nacht (A. Gelber)] in:\n\nCiweige wenji [Taiyuan/Xi'an, 1998], Vol. 6, No. 24, pp. 173-183\n\n\n\n",1998.0,"""'Yiqianlingyi' ye zhong de xiju"" [Das Drama in Tausendundeiner Nacht (A. Gelber)] in:\n\nCiweige wenji [Taiyuan/Xi'an",,Chinese,,"""'Yiqianlingyi' ye zhong de xiju"" [Das Drama in Tausendundeiner Nacht (A. Gelber)] in:\n\nCiweige wenji [Taiyuan/Xi'an, 1998], Vol. 6, No. 24, pp. 173-183\n\n\n\n",Essays / Individual Essays (Chinese),Essays,Late 20th Century (1981-2000)
4135,33678,''',2007,"'''[2007]: Dār al-Madā li-l-Thaqāfah wa'l-Nashr [Al Mada Publishing Company F.K.A.], Dimashq/Bayrūt/Baghdād [Damascus/Beirut/Baghdad]'''\n\n''Ê¿Ālam al-ams'' [Die Welt von Gestern. Erinnerungen eines Europäers]. Translated into Arabic by Ê¿Ārif á",2007.0,Company F,Published online,Arabic,343.0,"'''[2007]: Dār al-Madā li-l-Thaqāfah wa'l-Nashr [Al Mada Publishing Company F.K.A.], Dimashq/Bayrūt/Baghdād [Damascus/Beirut/Baghdad]'''\n\n''Ê¿Ālam al-ams'' [Die Welt von Gestern. Erinnerungen eines Europäers]. Translated into Arabic by Ê¿Ārif á¸¤udhayfah [Arif Hudaifa]. Translated from the English version ""The World of Yesterday"". 343 p. [Mudhakkirāt (Memoirs)]\n\nPublished online: After opening this link, please wait five seconds, then click the second Arabic line from below:\n\nhttp://books.ibtesama.com/dldidl87711.pdf.html\n\n\n\n'''[2009]: al-HaiÊ¾ah al-Ê¿Āmmah al-Sūriyyah li-l-Kitāb, Wizārat al-Thaqāfah [The Syrian General Organization of Books, Ministry of Culture], Dimashq [Damascus]'''\n\n''Ê¿Ālam al-ams : dirāsah'' [Die Welt von Gestern. Erinnerungen eines Europäers]. Translated into Arabic by Muḥammad Jadīd. 1st edition. 527 p. 1000 copies printed\n\n \n",Historical Studies / Volumes (Arabic),Historical Studies,Contemporary (after 2000)
3775,30712,'Āshiqāt fī 'l-kharīf,,'Āshiqāt fī 'l-kharīf,,,,,,'Āshiqāt fī 'l-kharīf,,,
3776,30713,'Āshiqāt fī 'l-kharīf,,'Āshiqāt fī 'l-kharīf,,,,,,'Āshiqāt fī 'l-kharīf,,,
3777,30714,'Āshiqāt fī 'l-kharīf,,'Āshiqāt fī 'l-kharīf,,,,,,'Āshiqāt fī 'l-kharīf,,,
3778,30715,'Āshiqāt fī 'l-kharīf,,'Āshiqāt fī 'l-kharīf,,,,,,'Āshiqāt fī 'l-kharīf,,,
3779,30716,'Āshiqāt fī 'l-kharīf,,'Āshiqāt fī 'l-kharīf,,,,,,'Āshiqāt fī 'l-kharīf,,,
3780,30717,'Āshiqāt fī 'l-kharīf,,'Āshiqāt fī 'l-kharīf,,,,,,'Āshiqāt fī 'l-kharīf,,,
4230,30709,'Āshiqāt fī 'l-kharīf,,'Āshiqāt fī 'l-kharīf,,,,,,'Āshiqāt fī 'l-kharīf,,,
4310,31220,Ê¿Āṣifah fī Ê¾l-jannah,,Ê¿Āṣifah fī Ê¾l-jannah,,,,,,Ê¿Āṣifah fī Ê¾l-jannah,,,
2445,59892,Brief einer Unbekannten / Individual Story,,Brief einer Unbekannten / Individual Story,,,,,,Brief einer Unbekannten / Individual Story,,,
224,38230,''',1956,"'''[1956]: Gosudarstvennoe Izdatel'stvo ""Khudozhestvennaia Literatura"", Moskva'''\n\n\n''Esse''. Vol. 2 of ''Izbrannye proizvedeniia v dvukh tomakh''. 2 vols. \n\n\n'''Contents''' \n\nVospominaniia ob Emile Verkharne [Erinnerungen an Emile Verhaeren",1956.0,Khudozhestvennaia Literatura,Moskva,Russian,,"'''[1956]: Gosudarstvennoe Izdatel'stvo ""Khudozhestvennaia Literatura"", Moskva'''\n\n\n''Esse''. Vol. 2 of ''Izbrannye proizvedeniia v dvukh tomakh''. 2 vols. \n\n\n'''Contents''' \n\nVospominaniia ob Emile Verkharne [Erinnerungen an Emile Verhaeren. Translated by G. Eremenko], pp. 5-(52)\nBal'zak [Balzac. Translated by L. Kopelev], pp. 53-(78)\nDikkens [Dickens. Translated by F. Zaibel'], pp. 79-(102)\nMarselina Debord-Val'mor [Marceline Desbordes-Valmore. Das Lebensbild einer Dichterin. Translated by M. L. Lozinskii], pp. 103-(150)\nZhozef Fushe. Portret politicheskogo deiatelia [Joseph Fouché. Bildnis eines politischen Menschen. Translated by P. S. Bernshtein], pp. 151-(330)\nMagellan [Magellan. Der Mann und seine Tat. Translated by A. Kulisher], pp. 331-(506)\nAmerigo [Amerigo. Die Geschichte eines historischen Irrtums. Translated by L. Lezhneva], pp. 507-(564)<br/><div class=""zweigSubHeading2"">'''Iz tsikla ""Vstrechi s liud'mi""''' [From ""Begegnungen mit Menschen""]</div>\nRech' k shestilesiatiletiu Maksima Gor'kogo [Rede zu Ehren Maxim Gorkis. Zum sechzigsten Geburtstag des Dichters, 26. März 1928. Translated by V. Toper], pp. 565-(572)\nArturo Toskanini [Arturo Toscanini. Ein Bildnis. Translated by S. Fridliand], pp. 573-(582)\nPrimechaniia [A. Ibragimov and Iu. Sheinin], pp. 583-(612)\n\n\n",Essays / Volumes (Russian)|Esse,Essays,Post-WWII (1943-1980)
3245,21728,Paul Zechs ''Gelandet'',,Paul Zechs ''Gelandet'',,,,,,Paul Zechs ''Gelandet'',,,
3882,51826,"""Schach dem Schicksal - Ein Mann trotzt der lautlosen Gewalt. Curd Jürgens dreht Stefan Zweigs 'Schachnovelle'"" in ''Westfälische Rundschau''",Dortmund,"""Schach dem Schicksal - Ein Mann trotzt der lautlosen Gewalt. Curd Jürgens dreht Stefan Zweigs 'Schachnovelle'"" in ''Westfälische Rundschau'' [Dortmund], 7 May 1960 [No. 107]\n\n\n\n",1960.0,"""Schach dem Schicksal - Ein Mann trotzt der lautlosen Gewalt. Curd Jürgens dreht Stefan Zweigs 'Schachnovelle'"" in ''Westfälische Rundschau'' [Dortmund]",,German,,"""Schach dem Schicksal - Ein Mann trotzt der lautlosen Gewalt. Curd Jürgens dreht Stefan Zweigs 'Schachnovelle'"" in ''Westfälische Rundschau'' [Dortmund], 7 May 1960 [No. 107]\n\n\n\n",Secondary Literature / Authors (German),Secondary Literature,Post-WWII (1943-1980)
3885,28250,"""Neuaufgelegter Klassiker: Stefan Zweig""",Fischer Bibliothek,"""Neuaufgelegter Klassiker: Stefan Zweig"" [Fischer Bibliothek] in ''Westfalen-Blatt'' [Bielefeld], 26 July 1979\n\n\n\n",1979.0,"""Neuaufgelegter Klassiker: Stefan Zweig"" [Fischer Bibliothek] in ''Westfalen-Blatt'' [Bielefeld]",Neuaufgelegter Klassiker,German,,"""Neuaufgelegter Klassiker: Stefan Zweig"" [Fischer Bibliothek] in ''Westfalen-Blatt'' [Bielefeld], 26 July 1979\n\n\n\n",Secondary Literature / Authors (German),Secondary Literature,Post-WWII (1943-1980)
5177,36609,Bhāgya kī viḍambanā,,Bhāgya kī viḍambanā. Bhāvapūrṇa do mārmika upanyāsoṃ ke hindī rūpāntara,,,,,,Bhāgya kī viḍambanā. Bhāvapūrṇa do mārmika upanyāsoṃ ke hindī rūpāntara,,,
7160,54268,"""1914 et maintenant""",1914 und heute. Anläßlich des Romans von Roger Martin du Gard ''Ã‰té'',"""1914 et maintenant"" [1914 und heute. Anläßlich des Romans von Roger Martin du Gard ''Ã‰té''] in Derniers messages [Paris/Neuchâtel, 1949], No. 12, pp. (207)-216\n\n'''Reprinted in:'''\n\nDerniers messages [Paris, 2013], No. 13, pp. (233)-242\n\n\n''",1914.0,"""1914 et maintenant"" [1914 und heute. Anläßlich des Romans von Roger Martin du Gard ''Ã‰té''] in Derniers messages [Paris/Neuchâtel",Paris,French,,"""1914 et maintenant"" [1914 und heute. Anläßlich des Romans von Roger Martin du Gard ''Ã‰té''] in Derniers messages [Paris/Neuchâtel, 1949], No. 12, pp. (207)-216\n\n'''Reprinted in:'''\n\nDerniers messages [Paris, 2013], No. 13, pp. (233)-242\n\n\n'''See:''' 1914 und heute\n\n\n\n",Essays / Individual Essays (French),Essays,During Lifetime (1881-1942)
2729,54242,"Martin du Gard, Roger / 1914 und heute",,"Martin du Gard, Roger / 1914 und heute",1914.0,Martin du Gard,,,,"Martin du Gard, Roger / 1914 und heute",,,During Lifetime (1881-1942)
5639,40464,"""1914 y hoy""",1914 und heute. Anläßlich des Romans von Roger Martin du Gard 'Ã‰té 1914',"""1914 y hoy"" [1914 und heute. Anläßlich des Romans von Roger Martin du Gard 'Ã‰té 1914'] in:\n\nLos creadores [Buenos Aires, 1942], No. 6, pp. (153)-169 [Translated by Alfredo Cahn]\nObras completas de Stefan Zweig [Barcelona, 1952-1978], Vol. 4 [Tie",1914.0,"""1914 y hoy"" [1914 und heute. Anläßlich des Romans von Roger Martin du Gard 'Ã‰té",See,Spanish,,"""1914 y hoy"" [1914 und heute. Anläßlich des Romans von Roger Martin du Gard 'Ã‰té 1914'] in:\n\nLos creadores [Buenos Aires, 1942], No. 6, pp. (153)-169 [Translated by Alfredo Cahn]\nObras completas de Stefan Zweig [Barcelona, 1952-1978], Vol. 4 [Tiempo y mundo] [1952], No. 80, pp. 1048-1053 [Translated by Tristán La Rosa]\nObras de Stefan Zweig [Barcelona/Madrid, 1958], Vol. 2 [Tiempo y mundo], No. 46, pp. 1035-1041 [Translated by Tristán La Rosa]\nTiempo y mundo [Barcelona, 1953], No. 4, pp. 157-174 [Translated by Tristán La Rosa]\nTiempo y mundo [Barcelona, 1959], No. 20, pp. (225)-230 [Translated by the Editorial Juventud]\nTiempo y mundo [Barcelona, 1998], No. 20, pp. 263-269 [Translated by José Fernández]\n\n\n'''See:''' Zeit und Welt. Gesammelte Aufsätze und Vorträge 1904-1940 [Stockholm, 1943], No. 20, pp. (353)-362\n\n\n\n",Essays / Individual Essays (Spanish),Essays,During Lifetime (1881-1942)
1868,17362,Sobranie sochinenii Stefana Tsveiga v dvenadtsati tomakh,,Sobranie sochinenii Stefana Tsveiga v dvenadtsati tomakh,,,,,,Sobranie sochinenii Stefana Tsveiga v dvenadtsati tomakh,,,
2919,17361,Sobranie sochinenii Stefana Tsveiga v dvenadtsati tomakh,,Sobranie sochinenii Stefana Tsveiga v dvenadtsati tomakh,,,,,,Sobranie sochinenii Stefana Tsveiga v dvenadtsati tomakh,,,
1936,17363,Sobranie sochinenii Stefana Tsveiga v dvenadtsati tomakh,,Sobranie sochinenii Stefana Tsveiga v dvenadtsati tomakh,,,,,,Sobranie sochinenii Stefana Tsveiga v dvenadtsati tomakh,,,
2898,17364,Sobranie sochinenii Stefana Tsveiga v dvenadtsati tomakh,,Sobranie sochinenii Stefana Tsveiga v dvenadtsati tomakh,,,,,,Sobranie sochinenii Stefana Tsveiga v dvenadtsati tomakh,,,
2496,13055,"Obras completas de Stefan Zweig, 1934-1950",,"Obras completas de Stefan Zweig, 1934-1950",1934.0,Obras completas de Stefan Zweig,,,,"Obras completas de Stefan Zweig, 1934-1950",,,During Lifetime (1881-1942)
2494,13053,"Obras de Stefan Zweig, 1934-1950",,"Obras de Stefan Zweig, 1934-1950",1934.0,Obras de Stefan Zweig,,,,"Obras de Stefan Zweig, 1934-1950",,,During Lifetime (1881-1942)
3937,28573,'''In memoriam Stefan Zweig''',23 July 1942,"'''In memoriam Stefan Zweig''' [23 July 1942]. International P.E.N., London.\n\nAn invitation by the London Centre of the International P.E.N. Club to a meeting in memory of Stefan Zweig at the Rudolf Steiner Hall on Thursday, 23rd July, 1942. Chairm",1942.0,'''In memoriam Stefan Zweig''' [23 July,London,,,"'''In memoriam Stefan Zweig''' [23 July 1942]. International P.E.N., London.\n\nAn invitation by the London Centre of the International P.E.N. Club to a meeting in memory of Stefan Zweig at the Rudolf Steiner Hall on Thursday, 23rd July, 1942. Chairman: Hermann Ould. Speakers: G. B. Stern and Robert Neumann. Berthe Grossbard read passages from Stefan Zweig's writings\n\n\n",Symposia and Exhibitions | 19420723,Symposia and Exhibitions | 19420723,During Lifetime (1881-1942)
2920,19431,Izbrannye proizvedeniia v dvukh tomakh,,Izbrannye proizvedeniia v dvukh tomakh,,,,,,Izbrannye proizvedeniia v dvukh tomakh,,,
2495,13057,"Obras completas de Stefan Zweig, 1960",,"Obras completas de Stefan Zweig, 1960",1960.0,Obras completas de Stefan Zweig,,,,"Obras completas de Stefan Zweig, 1960",,,Post-WWII (1943-1980)
2921,54882,Sobranie sochinenii Stefana Tsveiga v semi tomakh,,Sobranie sochinenii Stefana Tsveiga v semi tomakh,,,,,,Sobranie sochinenii Stefana Tsveiga v semi tomakh,,,
2899,54880,Sobranie sochinenii Stefana Tsveiga v semi tomakh,,Sobranie sochinenii Stefana Tsveiga v semi tomakh,,,,,,Sobranie sochinenii Stefana Tsveiga v semi tomakh,,,
972,28583,"'''Stefan Zweig, 1881-1942. Centenary Symposium'''",10 December 1981,"'''Stefan Zweig, 1881-1942. Centenary Symposium''' [10 December 1981]. This symposium was held at the Institute of Germanic Studies, 29 Russell Square, London WC18 5DP, under the auspices of the Institute of Germanic Studies and the Austrian Institut",1881.0,Richard Strauss und Stefan Zweig - Zur Problemlosigkeit einer künstlerischen Zusammenarbeit,London,,,"'''Stefan Zweig, 1881-1942. Centenary Symposium''' [10 December 1981]. This symposium was held at the Institute of Germanic Studies, 29 Russell Square, London WC18 5DP, under the auspices of the Institute of Germanic Studies and the Austrian Institute\n\n'''Session 1''' [Chairman: Professor Sir Ernst Gombrich]\n\nOtto Kolleritsch [Hochschule für Musik, Graz]: ""Richard Strauss und Stefan Zweig - Zur Problemlosigkeit einer künstlerischen Zusammenarbeit""\n\n\n'''Session 2''' [Chairman: Professor J. P. Stern. Honorary Director, Institute of Germanic Studies, University of London]\n\nJ. D. A. Warren [Oxford Polytechnic]: ""Stefan Zweig, Jeremias and the Anti-War Drama of the First World War""\nDavid Turner [University of Hull]: ""Imagery and the Image of Man in Stefan Zweig's Novellen""\nSylvia M. Patsch [Universität Innsbruck]: ""Stefan Zweig und Ben Jonson""\n\n",Symposia and Exhibitions | 19811210,Symposia and Exhibitions | 19811210,During Lifetime (1881-1942)
3293,22575,1981 November 24-25: Stefan Zweig Symposium,,1981 November 24-25: Stefan Zweig Symposium,1981.0,,,,,1981 November 24-25: Stefan Zweig Symposium,,,Late 20th Century (1981-2000)
968,48247,'''Stefan Zweig Symposium''',24-25 November 1981,"'''Stefan Zweig Symposium''' [24-25 November 1981]. This symposium was held at the Palais Pálffy, Wien I, Josefsplatz 6. It was organized by the Austrian Society for Literature [Österreichische Gesellschaft für Literatur] on behalf of the Cultural Of",1981.0,Stefan Zweig und die Neue Welt,Wien,,,"'''Stefan Zweig Symposium''' [24-25 November 1981]. This symposium was held at the Palais Pálffy, Wien I, Josefsplatz 6. It was organized by the Austrian Society for Literature [Österreichische Gesellschaft für Literatur] on behalf of the Cultural Office of the City of Vienna [Kulturamt der Stadt Wien]\n\n'''Lectures:''' \n\n\nDonald A. Prater [Genf]: ""Stefan Zweig und die Neue Welt""\nGyörgy Vajda [Budapest]: ""Stefan Zweig - aktueller Chronist einer vergangenen Welt""\nKlaus Heydemann [Wien]: ""Das Beispiel des Erasmus - Stefan Zweigs Einstellung zur Politik""\nWolfgang Greissenegger [Wien]: ""Stefan Zweig als Dramatiker und Beobachter des Theaters seiner Zeit""\nKlaus Zelewitz [Salzburg]: ""Geschichte erzählen - ein Risiko? Die Biographien Stefan Zweigs""\nOtto Kolleritsch [Graz]: ""Richard Strauss und Stefan Zweig""\nJoseph Strelka [New York]: ""Psychoanalytische Ideen in Zweigs Novellen""\n\n\n'''Reading:''' \n\nNorbert Kappen liest aus ''Die Welt von Gestern''\n\n\n",Symposia and Exhibitions | 19811124/25,Symposia and Exhibitions  | 19811124,Late 20th Century (1981-2000)
3292,22576,1981 November 24-25: Stefan Zweig Symposium,,1981 November 24-25: Stefan Zweig Symposium,1981.0,,,,,1981 November 24-25: Stefan Zweig Symposium,,,Late 20th Century (1981-2000)
969,28578,'''The Stefan Zweig Centenary Conference''',28 November 1981,"'''The Stefan Zweig Centenary Conference''' [28 November 1981]. This conference was held at the Hunter Museum of Art, Bluff View/Chattanooga, Tennessee. It was sponsored by the Southeastern Stefan Zweig Committee: Raymond E. Barrick, chairman, and me",1981.0,Chessnovella,New York,,,"'''The Stefan Zweig Centenary Conference''' [28 November 1981]. This conference was held at the Hunter Museum of Art, Bluff View/Chattanooga, Tennessee. It was sponsored by the Southeastern Stefan Zweig Committee: Raymond E. Barrick, chairman, and members Pierrette-Monique Denzler, Richard Firda, Renate Hufft, Sanford Shaw, and Reinhard K. Zachau\n\n'''Lectures:'''\n\nMarion Sonnenfeld [State University of New York, Fredonia, NY]: ""Chessnovella""\nReinhard K. Zachau [University of the South, Sewanee, TN]: ""Stefan Zweig's Political Consciousness in the Emigration""\nRaymond E. Barrick [Lee College, Baytown, TX]: ""The Sanctity of the Inner Man in the Works of Stefan Zweig""\nIlsedore B. Jonas [Carnegie-Mellon University, Pittsburgh, PA]: ""Stefan Zweig und Rainer Maria Rilke""\nEgbert Krispyn [University of Georgia, Athens, GA]: ""Some Observations on Stefan Zweig's Poetry""\nRichard Firda [Georgia State University, Atlanta, GA]: ""Vita - Zweig's Welt von Gestern""\nAugust J. DeBerdt [Berry College, Rome, GA]: ""Stefan Zweig - The Art of Poetic Translation""\nThomas Thornton [University of California, Santa Barbara, CA]: ""Chaos in und zwischen den Zeilen - Eine Betrachtung von Rilkes ''Die Näherin'' und Stefan Zweigs ''Leporella''""\nPeter J. Macris [State University of New York, Oneonta, NY]: ""Ben Jonson and Stefan Zweig - The Chemistry Was Right""\n\n\n'''Concert program:'''\n\nThe evening concert program was presented by Phillip Thomas [pianist], and Jimmy W. Burns [baritone]\n\n\n",Symposia and Exhibitions | 19811128,Symposia and Exhibitions  | 19811128,Late 20th Century (1981-2000)
